Name,Easting,Northing,Lat,Long
"Rio Grande Floodway at San Acacia, NM",341523,1065327,34.25638889,-106.8908333
"Rio Grande at Bridge near Escondida, NM",340715,1065313,34.1208333,-106.8869444
"Rio Grande above US Hwy 380 near San Antonio, NM",335536,1065104.2,33.92666667,-106.8511667
