Station,Easting,Northing,Elevation,nov_grav(microGal),nov_std,jan_grav(microGal),jan_std,del_grav_nov_jan(microGal),del_storage_nov_jan(m),del_storage_nov_jan_std
AP001,3772574.558,322775.063,1453,979165211,1.8,979165211,2.81,0,0,0.0796439036165348
ESC-E06,3777102.853,326036.646,1406.87,979185865.33,1.84,979185864.18,2.83,-1.15000009536743,-0.0274463029920628,0.080562625901158
ESC10,3777120.663,326036.08,1406.73,979185898.97,1.83,979185900.19,2.84,1.22000002861023,0.0291169457902203,0.0806332979844891
ESC14,3777122.708,326054.247,1406.75,979186017.83,1.84,979186018.66,2.84,0.829999923706055,0.0198090673915526,0.0807628203992721
ESC16,3777131.56,326078.388,1406.72,979186116.9,1.84,979186117.1,2.83,0.200000047683716,0.00477327082777365,0.080562625901158
ESC17,3777138.621,326101.524,1046.96,979186177.79,1.83,979186177.24,2.84,-0.549999952316284,-0.0131264905087419,0.0806332979844891
ESC21,3777179.538,326187.374,1406.31,979186792.22,1.84,979186790.81,2.83,-1.41000008583069,-0.0336515533611143,0.080562625901158
ESC22,3777187.99,326216.216,1406.86,979186892.16,1.84,979186894.24,2.83,2.08000004291534,0.0496420057975023,0.080562625901158
ESC23,3777096.646,326002.075,1408.14,979185634.88,1.84,979185638.68,2.83,3.79999995231628,0.0906921229669758,0.080562625901158
